url,id,price,baths,rooms,sqft
https://www.idealista.com/inmueble/99596854/,99596854,1950000,3,5,236
https://www.idealista.com/inmueble/102654124/,102654124,1380000,2,4,145
https://www.idealista.com/inmueble/104200534/,104200534,260000,1,0,78
https://www.idealista.com/inmueble/103859540/,103859540,1400000,3,2,138
https://www.idealista.com/inmueble/103085104/,103085104,1300000,3,4,257
https://www.idealista.com/inmueble/104138778/,104138778,499000,1,3,88
https://www.idealista.com/inmueble/98040774/,98040774,715000,1,2,117
https://www.idealista.com/inmueble/104015718/,104015718,1049000,3,2,115
https://www.idealista.com/inmueble/101643400/,101643400,1190000,2,3,135
https://www.idealista.com/inmueble/103801663/,103801663,850000,2,3,131
https://www.idealista.com/inmueble/103283712/,103283712,680000,2,3,137
https://www.idealista.com/inmueble/103884425/,103884425,535000,3,4,133
https://www.idealista.com/inmueble/101342446/,101342446,410000,1,0,146
https://www.idealista.com/inmueble/101603533/,101603533,1300000,3,3,179
https://www.idealista.com/inmueble/102972043/,102972043,648000,2,4,216
https://www.idealista.com/inmueble/102771614/,102771614,680000,1,2,99
https://www.idealista.com/inmueble/103708009/,103708009,550000,2,2,88
https://www.idealista.com/inmueble/104095745/,104095745,710000,2,3,127
https://www.idealista.com/inmueble/101968203/,101968203,660000,3,5,202
https://www.idealista.com/inmueble/103869856/,103869856,199000,1,1,14
https://www.idealista.com/inmueble/103475168/,103475168,850000,3,4,238
https://www.idealista.com/inmueble/103076189/,103076189,1097000,3,3,150
https://www.idealista.com/inmueble/102963420/,102963420,675000,1,2,139
https://www.idealista.com/inmueble/99591025/,99591025,870000,2,4,169
https://www.idealista.com/inmueble/101826558/,101826558,1650000,3,4,238
https://www.idealista.com/inmueble/103507521/,103507521,595000,1,3,89
https://www.idealista.com/inmueble/103173737/,103173737,1190000,3,2,110
https://www.idealista.com/inmueble/103429135/,103429135,525000,1,4,131
https://www.idealista.com/inmueble/104022587/,104022587,1700000,4,4,232
